,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0,2.2300144001592104,0.016047301,5.52069742647686,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
1,1.7783364488959144,0.019278216,3.8767936760939996,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2,2.8622008809294686,0.016760075,4.953133291824797,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
3,2.954910279033736,0.0,5.204528528915633,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
4,2.189416394888408,0.0,3.986414080361637,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5,2.341324921309976,0.0,3.939653736542333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
6,2.613739521630969,0.012741089,4.054542880339164,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7,2.8183982582710754,0.127469857,4.679926947632389,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
8,2.785011242238338,0.016687114,4.57442846437322,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
9,2.954910279033736,0.09444959,5.2354915112939535,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10,2.468099531471619,0.0,3.818595452369472,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
11,2.917770732084279,0.045463773,4.970578284678049,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
12,2.714694743820879,0.1000135,4.980028996756564,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
